Leonardo da Vinci,Polimatia rinascimentale: pittore, scienziato, inventore e anatomista.
Winston Churchill,Primo ministro britannico durante la Seconda guerra mondiale, celebre per il suo coraggio e la sua retorica.
Queen Elizabeth I,Regina inglese del XVI secolo, conosciuta come la "Vergine Regina", guidò l'Inghilterra durante l'Età dell'Oro.
Nelson Mandela,Icona della lotta anti-apartheid in Sudafrica, primo presidente nero del paese.
Marie Curie,Scienziata polacco-francese, pioniera nella ricerca sulla radioattività e prima donna a vincere un premio Nobel in due discipline scientifiche.
Abraham Lincoln,16º presidente degli Stati Uniti, guida il paese attraverso la Guerra Civile e abolisce la schiavitù.
Joan of Arc,Eroina francese del XV secolo, guidò le truppe francesi durante la Guerra dei Cent'anni.
George Washington,Primo presidente degli Stati Uniti, comandante dell'esercito continentale durante la Guerra d'Indipendenza americana.
Genghis Khan,Imperatore mongolo del XIII secolo, fondatore dell'Impero mongolo, uno dei più grandi della storia.
Charles Darwin,Naturalista britannico, autore della teoria dell'evoluzione attraverso la selezione naturale.
Elizabeth I,Regina inglese del XVI secolo, nota per aver guidato l'Inghilterra attraverso l'Età dell'Oro e per aver consolidato il protestantesimo.
Martin Luther,Teologo e riformatore tedesco, figura chiave della Riforma Protestante.
Simone de Beauvoir,Scrittrice e filosofa francese, autrice de Il Secondo Sesso, testo fondamentale del femminismo.
Mahatma Gandhi,Leader indiano nella lotta per l'indipendenza dall'Impero britannico, noto per la sua pratica della non violenza.
Vincent van Gogh,Pittore olandese post-impressionista, famoso per le sue opere emotive e il suo stile distintivo.
Benjamin Franklin,Politicamente attivo e inventore americano, contribuì alla Dichiarazione d'Indipendenza e all'invenzione del parafulmine.
Catherine the Great,Imperatrice russa del XVIII secolo, nota per le sue riforme politiche e culturali.
Fidel Castro,Rivoluzionario cubano e leader politico, portò la rivoluzione cubana alla vittoria e divenne presidente di Cuba.
Rosa Parks,Icona del movimento per i diritti civili americani, celebre per il suo rifiuto di cedere il suo posto su un autobus.
Sigmund Freud,Psicoanalista austriaco, fondatore della psicoanalisi e autore di teorie rivoluzionarie sulla mente umana.
Marlon Brando,Iconico attore americano, noto per le sue interpretazioni rivoluzionarie in film come Il padrino.
Che Guevara,Rivoluzionario argentino-cubano, compagno di Fidel Castro e figura chiave nella rivoluzione cubana.
Emily Dickinson,Poetessa americana del XIX secolo, nota per la sua poesia introspettiva e sperimentale.
Mother Teresa,Religiosa cattolica albanese-indiana, nota per il suo lavoro umanitario con i poveri e gli ammalati.
Oscar Wilde,Scrittore e poeta irlandese, celebre per il suo acume e il suo stile decadente.
Pablo Picasso,Pittore e scultore spagnolo, fondatore del cubismo e figura dominante dell'arte moderna.
Sojourner Truth,Abolizionista e attivista per i diritti delle donne afroamericane, famosa per il suo discorso "Ain't I a Woman?".
William Shakespeare,Drammaturgo e poeta inglese del Rinascimento, autore di opere teatrali classiche come Romeo e Giulietta.
James Joyce,Scrittore irlandese del modernismo, celebre per il suo romanzo Ulisse.
Mao Zedong,Revolutionary leader and founding father of the People's Republic of China, influential communist theorist.
Ernest Hemingway,Scrittore americano, celebre per i suoi romanzi come Il vecchio e il mare e Addio alle armi.
Frida Kahlo,Artista messicana nota per i suoi autoritratti e il suo stile surreale.
Marilyn Monroe,Iconica attrice e modella americana, simbolo di sensualità e glamour.
Susan B. Anthony,Attivista per i diritti delle donne americane e per l'abolizione della schiavitù, una delle figure chiave del movimento per il suffragio femminile.
Wolfgang Amadeus Mozart,Compositore classico austriaco, uno dei più grandi geni musicali della storia.
Charles Dickens,Scrittore inglese del XIX secolo, autore di opere come Grandi speranze e Oliver Twist.
John Locke,Filosofo inglese, uno dei pensatori più influenti dell'Illuminismo.
Malcolm X,Leader afroamericano del movimento per i diritti civili, noto per il suo attivismo per l'uguaglianza razziale.
Napoleon Bonaparte,Generale e leader politico francese, noto per le sue campagne militari e il suo dominio come imperatore.
Plato,Filosofo greco antico, fondatore dell'Accademia di Atene e autore di dialoghi filosofici.
Salvador Dali,Pittore surrealista spagnolo, celebre per le sue opere bizzarre e visionarie.
Michael Jackson,Iconico cantante e ballerino pop americano, noto come il "Re del Pop".
Cleopatra,Regina egizia nota per la sua bellezza e la sua abilità politica, famosa per la sua relazione con Giulio Cesare e Marco Antonio.
Mikhail Gorbachev,Leader sovietico, noto per le sue riforme politiche ed economiche che hanno portato al crollo dell'Unione Sovietica.
Marie Antoinette,Regina di Francia, famosa per la sua vita sontuosa e il suo infelice destino durante la Rivoluzione Francese.
Pope Francis,Papa della Chiesa Cattolica Romana, noto per la sua umiltà e il suo impegno per la giust
Rutherford B. Hayes,19° presidente degli Stati Uniti, noto per il suo impegno per il diritto civile.
Sun Yat-sen,Primo presidente e fondatore della Repubblica di Cina, unificatore della Cina moderna.
Theodore Roosevelt,26° presidente degli Stati Uniti, noto per il suo attivismo ambientale e per il suo stile di leadership energico.
William Faulkner,Scrittore americano, vincitore del Premio Nobel per la Letteratura, celebre per i suoi romanzi sull'America del sud.
Yoko Ono,Artista giapponese e attivista per i diritti umani, nota per il suo lavoro nella musica, nell'arte concettuale e nell'attivismo.
Barack Obama,44º presidente degli Stati Uniti, primo presidente afroamericano del paese.
Elizabeth II,Regina del Regno Unito dal 1952, la più longeva regnante nella storia britannica.
Gandhi,Leader indiano della lotta per l'indipendenza dall'Impero britannico, noto per il suo impegno per la non violenza.
Karl Marx,Filosofo, economista e teorico politico tedesco, autore de Il Capitale e co-fondatore del comunismo moderno.
George Orwell,Scrittore inglese, autore di romanzi come 1984 e Animal Farm, noto per la sua critica al totalitarismo.
Henry VIII,Re d'Inghilterra del XVI secolo, noto per aver scisso l'Inghilterra dalla Chiesa cattolica romana per fondare la Chiesa anglicana.
Leon Trotsky,Rivoluzionario e politico russo, figura chiave della Rivoluzione russa e dell'Internazionalismo.
Queen Elizabeth II,Regina del Regno Unito dal 1952, la più longeva regnante nella storia britannica.
Eleanor Roosevelt,Prima Dama degli Stati Uniti dal 1933 al 1945, attivista per i diritti umani e moglie del presidente Franklin D. Roosevelt.